,Source,Target,Type,Id,Label,timeset,Weight,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,date,link,tweet,before/after,target,source
63,aorengo,AEMEAD1,Directed,68,,,1,3196,521,521,2017-09-17,"('aorengo', 'AEMEAD1')","abner gómez, dir. de @aemead1, enfatiza en que personas que vivan en áreas propensas a inundaciones deben desalojar.",,AEMEAD1,aorengo
64,aorengo,fortalezapr,Directed,69,,,1,3211,536,536,2017-09-17,"('aorengo', 'fortalezapr')",rt @fortalezapr: .@secfamiliapr dice que hay unos fondos del pan de emergencia que se podrían solicitar ante el paso de #mariapr,,fortalezapr,aorengo
65,aorengo,SecFamiliaPR,Directed,70,,,1,3212,537,537,2017-09-17,"('aorengo', 'SecFamiliaPR')",rt @fortalezapr: .@secfamiliapr dice que hay unos fondos del pan de emergencia que se podrían solicitar ante el paso de #mariapr,,SecFamiliaPR,aorengo
66,sierradedorado7,NWSSanJuan,Directed,71,,,2,15630,2773,2767,2017-09-20,"('sierradedorado7', 'NWSSanJuan')","rt @nwssanjuan: extreme wind warning/aviso de vientos extremos for/para gurabo, guayama, las piedras, caguas, juncos, cayey, san lorenzo y…",,NWSSanJuan,sierradedorado7
68,JannyMir,JohnMoralesNBC6,Directed,73,,,4,13219,362,362,2017-09-20,"('JannyMir', 'JohnMoralesNBC6')",rt @johnmoralesnbc6: aquí viene. no hay desviación que valga. a partir de las 5 am preparados para 8 a 10 largas horas. vientos pico med…,,JohnMoralesNBC6,JannyMir
69,Lyliane_M,RCamachoVzla,Directed,75,,,1,3328,653,653,2017-09-17,"('Lyliane_M', 'RCamachoVzla')","rt @rcamachovzla: 2/3 casilla de electricidad quedando sin luz el sitio. al llegar corpoelec a verificar, hallaron el cuerpo electrocutado…",,RCamachoVzla,Lyliane_M
70,dulcepasioncha,Todounchef,Directed,76,,,3,47807,439,438,2017-10-02,"('dulcepasioncha', 'Todounchef')",rt @todounchef: prepara las papas fritas perfectas como #todounchef con esta #receta https://t.co/vb1eyfpsw1 https://t.co/m6wciax7tg,,Todounchef,dulcepasioncha
71,AnalizMateo,ricardorossello,Directed,77,,,15,69419,2044,2044,2017-10-09,"('AnalizMateo', 'ricardorossello')",rt @cideloisa: @elr_now @ricardorossello deje de criticar a quienestrabajan..sirva de voluntario y pongase aayudar.. con la boca es un mame…,,ricardorossello,AnalizMateo
73,empleoyexito,ReclutamientoDF,Directed,79,,,1,3541,866,866,2017-09-17,"('empleoyexito', 'ReclutamientoDF')",rt @reclutamientodf: se solicita #ayudantegeneral de producción con experiencia en artes graficas zona #portales delg #benitojuarez…,,ReclutamientoDF,empleoyexito
74,pesjus,LuisOlavarrieta,Directed,80,,,1,3571,896,896,2017-09-17,"('pesjus', 'LuisOlavarrieta')",rt @luisolavarrieta: ayuda por favor! https://t.co/nbdthna4en,,LuisOlavarrieta,pesjus
75,AdrianaAtenci13,NaranjaRA,Directed,81,,,1,3625,950,950,2017-09-17,"('AdrianaAtenci13', 'NaranjaRA')",rt @naranjara: mientras tanto en la anc se preparan para dialogar... https://t.co/7tcubsgvou,,NaranjaRA,AdrianaAtenci13
76,gilbertbatistar,LuisOlavarrieta,Directed,82,,,1,3662,987,987,2017-09-17,"('gilbertbatistar', 'LuisOlavarrieta')",rt @luisolavarrieta: ayuda por favor! https://t.co/nbdthna4en,,LuisOlavarrieta,gilbertbatistar
77,SuperMackey25,fjalvareztvenez,Directed,83,,,1,3675,1000,1000,2017-09-17,"('SuperMackey25', 'fjalvareztvenez')","rt @fjalvareztvenez: caguaripano tomó el fuerte más poderoso de venezuela y lo hizo suyo, así se toma la libertad, sin pedir permiso",,fjalvareztvenez,SuperMackey25
78,dianalsantiago,NWSSanJuan,Directed,84,,,1,3740,1065,1065,2017-09-17,"('dianalsantiago', 'NWSSanJuan')",rt @nwssanjuan: 8 pm ast advisory/advertencia #6a: hurricane/huracán maría. #prwx #usviwx https://t.co/dddaj40yz1,,NWSSanJuan,dianalsantiago
79,torque2punto0,Angelicalugob,Directed,85,,,1,3778,1103,1103,2017-09-17,"('torque2punto0', 'Angelicalugob')",rt @angelicalugob: gran trabajo de @dayidayi para @hispanopost con la gente de @aguanta_lapela https://t.co/kgicg9w3km,,Angelicalugob,torque2punto0
80,torque2punto0,Dayidayi,Directed,86,,,1,3779,1104,1104,2017-09-17,"('torque2punto0', 'Dayidayi')",rt @angelicalugob: gran trabajo de @dayidayi para @hispanopost con la gente de @aguanta_lapela https://t.co/kgicg9w3km,,Dayidayi,torque2punto0
81,torque2punto0,hispanopost,Directed,87,,,1,3780,1105,1105,2017-09-17,"('torque2punto0', 'hispanopost')",rt @angelicalugob: gran trabajo de @dayidayi para @hispanopost con la gente de @aguanta_lapela https://t.co/kgicg9w3km,,hispanopost,torque2punto0
82,torque2punto0,aguanta_lapela,Directed,88,,,1,3781,1106,1106,2017-09-17,"('torque2punto0', 'aguanta_lapela')",rt @angelicalugob: gran trabajo de @dayidayi para @hispanopost con la gente de @aguanta_lapela https://t.co/kgicg9w3km,,aguanta_lapela,torque2punto0
83,perezperez1973,ricardorossello,Directed,89,,,5,28886,1178,1178,2017-09-25,"('perezperez1973', 'ricardorossello')",rt @ricardorossello: en la operación llevamos agua y suministros de primera necesidad. esta fue una de varías misiones alrededor de la i…,,ricardorossello,perezperez1973
